school_for_merge,AP Top 25,Coaches Poll,FCS Coaches Poll
Abilene Christian,,,18.0
Alabama,10.0,10.0,
BYU,11.0,11.0,
Georgia,4.0,4.0,
Georgia Tech,15.0,12.0,
Harvard,,,10.0
Houston,25.0,24.0,
Illinois State,,,11.0
Indiana,2.0,2.0,
Jackson State,,,15.0
James Madison,21.0,22.0,
Lafayette,,,24.0
Lamar,,,19.0
Lehigh,,,4.0
Mercer,,,6.0
Miami,14.0,15.0,
Michigan,18.0,17.0,
Missouri,23.0,21.0,
Monmouth,,,11.0
Montana,,,2.0
Montana State,,,3.0
North Dakota,,,16.0
North Dakota State,,,1.0
North Texas,22.0,23.0,
Notre Dame,9.0,9.0,
Ohio State,1.0,1.0,
Oklahoma,8.0,8.0,
Ole Miss,5.0,6.0,
Oregon,6.0,5.0,
Rhode Island,,,9.0
SE Louisiana,,,20.0
South Dakota,,,21.0
South Dakota State,,,22.0
Stephen F. Austin,,,13.0
Tarleton State,,,5.0
Tennessee,20.0,20.0,
Tennessee Tech,,,8.0
Texas,17.0,18.0,
Texas A&M,3.0,3.0,
Texas Tech,6.0,7.0,
Tulane,24.0,25.0,
UC Davis,,,14.0
USC,16.0,16.0,
Utah,13.0,14.0,
Vanderbilt,12.0,13.0,
Villanova,,,7.0
Virginia,19.0,19.0,
West Georgia,,,23.0
Yale,,,25.0
Youngstown State,,,17.0
